3.14,0.43,9.9
2.99,0.38,9.4
3.14,0.45,10.4
3.06,0.84,9.7
2.89,0.42,8.9
2.89,0.42,8.9
3.29,0.42,12.4
3.36,0.33,12.1
3.36,0.33,12.1
3.29,0.42,12.4
2.98,0.4,9.1
3.28,0.39,10.6
2.89,0.42,8.9
3.15,0.5,9.5
3.16,0.49,9.8
3.14,0.59,9.6
3.08,0.44,12.6
3.08,0.54,9.3
2.87,0.29,10
3.12,0.54,12.7
3.13,0.39,11
3.03,0.39,11.4
3.35,0.33,11.5
3.09,0.64,10.2
3.11,0.27,11.4
3.03,0.41,12.6
3.28,0.39,9.4
3.11,0.35,8.7
3.19,0.68,9.2
3.19,0.66,9.3
3.09,0.43,9.2
2.93,0.5,8.7
3.18,0.58,9.6
3.02,0.63,9.3
3.02,0.63,9.3
3.12,0.61,9.9
3.15,0.5,11
3.26,0.57,12.7
3.09,0.54,8.9
3.09,0.55,8.9
2.93,0.5,8.7
3.02,0.37,11.4
3.36,0.42,9.6
3.02,0.41,9.1
3.02,0.39,9.1
3.01,0.38,9.1
3.13,0.47,8.9
3.1,0.49,8.8
3.13,0.47,8.9
3.15,0.5,9.3
3.1,0.49,8.8
3.2,0.5,9.6
3.33,0.53,12
3.28,0.5,10.2
3.15,0.43,8.8
3.21,0.34,9.2
2.99,0.51,9.9
3.32,0.74,10.2
3.22,0.77,9.5
3.31,0.34,10.5
3.32,0.59,11.2
